"geneSymbol","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"AIF1",2573,1790,751,2084,3286,408
"AIF1L",13,768,8,12,193,79
"AIFM1",565,459,402,631,1122,752
"AIFM2",43,105,153,29,26,259
"AIFM3",43,66,135,34,214,237
"AIG1",262,161,182,613,1877,607
"AIM1",1001,397,238,504,118,267
"AIM1L",4,65,0,5,4,5
"AIM2",3,24,3,0,35,6
"AIMP1",1127,940,713,1207,1132,816
"AIMP2",116,57,105,116,300,133
"AIP",551,692,316,671,1083,767
"AIPL1",0,0,0,0,0,0
"AIRE",0,1,0,34,6,1
"AIRN",1,0,0,1,0,0
"AJAP1",0,0,0,1,0,0
"AJUBA",4,15,8,9,22,98
"AK1",170,217,763,576,955,32
"AK2",1534,1849,1380,1476,3525,2541
"AK3",891,1232,722,1312,1758,1687
"AK4",34,9,8,37,165,3
"AK5",4,2,0,30,4,3
"AK6",96,139,118,181,242,220
"AK7",12,6,48,45,44,7
"AK8",19,8,4,20,20,5
"AK9",184,76,44,125,251,748
"AKAP1",364,199,287,306,916,849
"AKAP10",825,732,247,529,712,586
"AKAP11",1600,1106,317,706,1047,1864
"AKAP12",60,1024,84,848,9,14
"AKAP13",2928,6028,1608,3016,2166,5312
"AKAP14",2,1,0,4,0,1
"AKAP17A",3011,4293,1838,3712,1805,3143
"AKAP2",3,0,1,0,0,1
"AKAP3",3,1,2,3,64,25
"AKAP4",1,3,3,0,0,1
"AKAP5",33,16,1,31,37,60
"AKAP6",28,1,4,13,35,15
"AKAP7",256,159,229,247,213,20
"AKAP8",1827,1089,611,1558,909,1254
"AKAP8L",2486,2755,2594,3732,2055,3984
"AKAP9",2643,2061,1094,2714,1504,2083
"AKIP1",69,124,200,87,344,378
"AKIRIN1",3435,2743,2383,3364,2051,3413
"AKIRIN2",1712,1995,1922,1972,1041,1298
"AKNA",3584,4186,691,1586,825,382
"AKNAD1",2,4,0,1,2,2
"AKR1A1",831,704,512,745,2211,1693
"AKR1B1",471,133,451,496,1198,487
"AKR1B10",0,0,0,0,0,0
"AKR1B15",0,0,0,0,0,0
"AKR1C1",39,9,101,281,352,53
"AKR1C2",13,4,68,117,106,9
"AKR1C3",841,748,519,521,369,63
