"","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"CLNS1A",4.99164047659025,5.46129940130032,5.36646841861645,5.22818727992243,5.71272511495048,4.93418031602193
"CLOCK",3.65793229983557,3.75004240494818,1.81452466118962,2.63336115111725,3.54469941908435,4.23820051639464
"CLP1",4.69770282852817,4.10567054744748,2.71054624208547,3.35487416770988,2.60700556977619,2.40623246541878
"CLPB",2.59380196241585,2.17967112889126,3.52156375824245,2.4708401857582,3.35227617477673,3.05830916199847
"CLPP",4.0805664763216,4.75826811957788,5.10847584715339,3.71320102332725,4.45747920662335,4.50293654818653
"CLPTM1",5.57920776184334,4.98079073042313,5.38105759391645,5.38889539872612,4.96998873292632,4.78054138126025
"CLPTM1L",5.05016437876853,4.77277680292103,5.48826077816026,5.0642490224856,5.57960348726396,6.50080920195557
"CLPX",4.96581332167264,4.90048647235746,4.47849503635057,5.42969543246647,4.15785547194448,4.5962230899152
"CLSPN",4.21088057623074,2.96587293449877,6.17928260139892,4.27091582377905,3.97172239430966,4.42729408094661
"CLSTN1",6.06814529045708,5.27256785619223,4.10164073095961,4.90408917453687,4.42241197572944,6.27656264473761
"CLSTN2",-5.99491267316641,-5.8701774205593,-5.42388007813546,-4.47167431958104,1.87992148712395,5.32359200762528
"CLSTN3",4.93212449555388,6.49532484763381,5.13549701239122,5.33514378571097,4.66744523725998,3.93628081875779
"CLTA",5.14910819610048,5.13755069407295,5.71375152009997,5.66830329816017,5.84408983650866,5.57974514677249
"CLTB",4.39633091626103,4.82418046666215,4.99080515767175,4.44021695708585,4.49974709860798,4.8340940050552
"CLTC",7.18825744787572,7.51662813820925,7.77717173616781,7.89291635055263,7.279139251979,6.81462465105561
"CLTCL1",-0.865629656221447,-1.96328682495079,-0.379485958777007,2.72144030923317,2.55860874521708,-1.54998584255331
"CLU",-0.380202829051205,4.49066966362036,5.91541322204463,4.53862066114684,5.47673454482858,1.81519545028794
